"TIMESTAMP","EQ_NAME","ATTR","VALUE","CALC_PROC"
"Feb  5 2015  9:37AM","DP","SCANNINGON2","","PHD.KS_20_0104D_"
"Feb 20 2015  5:41PM","CL_TB_D","EQUIPMENT_NAME","D",""
"Feb 20 2015  5:41PM","CL_TB_D","EQUIPMENT_DESC","Cluster D - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_D","QOIL","","PHD.OFI_18_6196A"
"Feb 20 2015  5:41PM","CL_TB_D","QWAT","","PHD.OFI_18_6196B"
"Feb 20 2015  5:41PM","CL_TB_D","QLIQ","","PHD.OFI_18_6196C"
"Feb 20 2015  5:41PM","CL_TB_D","QGAS","","PHD.OFI_18_6196D"
"Feb 20 2015  5:41PM","CL_TB_D","WC","","PHD.OFFI_18_6196A"
"Feb 20 2015  5:41PM","CL_TB_D","GOR","","PHD.OFFI_18_6196B"
"Feb 20 2015  5:41PM","CL_TB_D","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_E","EQUIPMENT_NAME","E",""
"Feb 20 2015  5:41PM","CL_TB_E","EQUIPMENT_DESC","Cluster E - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_E","QOIL","","PHD.OFI_18_6296A"
"Feb 20 2015  5:41PM","CL_TB_E","QWAT","","PHD.OFI_18_6296B"
"Feb 20 2015  5:41PM","CL_TB_E","QLIQ","","PHD.OFI_18_6296C"
"Feb 20 2015  5:41PM","CL_TB_E","QGAS","","PHD.OFI_18_6296D"
"Feb 20 2015  5:41PM","CL_TB_E","WC","","PHD.OFFI_18_6296A"
"Feb 20 2015  5:41PM","CL_TB_E","GOR","","PHD.OFFI_18_6296B"
"Feb 20 2015  5:41PM","CL_TB_E","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_F","EQUIPMENT_NAME","F",""
"Feb 20 2015  5:41PM","CL_TB_F","EQUIPMENT_DESC","Cluster F - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_F","QOIL","","PHD.OFI_18_6396A"
"Feb 20 2015  5:41PM","CL_TB_F","QWAT","","PHD.OFI_18_6396B"
"Feb 20 2015  5:41PM","CL_TB_F","QLIQ","","PHD.OFI_18_6396C"
"Feb 20 2015  5:41PM","CL_TB_F","QGAS","","PHD.OFI_18_6396D"
"Feb 20 2015  5:41PM","CL_TB_F","WC","","PHD.OFFI_18_6396A"
"Feb 20 2015  5:41PM","CL_TB_F","GOR","","PHD.OFFI_18_6396B"
"Feb 20 2015  5:41PM","CL_TB_F","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_G","EQUIPMENT_NAME","G",""
"Feb 20 2015  5:41PM","CL_TB_G","EQUIPMENT_DESC","Cluster G - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_G","QOIL","","PHD.OFI_18_6496A"
"Feb 20 2015  5:41PM","CL_TB_G","QWAT","","PHD.OFI_18_6496B"
"Feb 20 2015  5:41PM","CL_TB_G","QLIQ","","PHD.OFI_18_6496C"
"Feb 20 2015  5:41PM","CL_TB_G","QGAS","","PHD.OFI_18_6496D"
"Feb 20 2015  5:41PM","CL_TB_G","WC","","PHD.OFFI_18_6496A"
"Feb 20 2015  5:41PM","CL_TB_G","GOR","","PHD.OFFI_18_6496B"
"Feb 20 2015  5:41PM","CL_TB_G","ROUTING","",""
"Feb 20 2015  5:41PM","CL_TB_H","EQUIPMENT_NAME","H",""
"Feb 20 2015  5:41PM","CL_TB_H","EQUIPMENT_DESC","Cluster H - Troll B",""
"Feb 20 2015  5:41PM","CL_TB_H","QOIL","","PHD.OFI_18_6796A"
