"APPL_NAME","APPL_ENTITY_TYP","ATTR_OWN","ATTR","DFLT_VALUE","DFLT_UNITS","DFLT_TAG_MASK","DFLT_DOMAIN_NAME","DFLT_CALC_PROC","PROC_TYP"
"PCC","TP","PCC","EQUIPMENT_NAME","","","","","",""
"PCC","TP","PCC","EQUIPMENT_DESC","","","","","",""
"PCC","TP","PCC","QOIL","","","","","",""
"PCC","TP","PCC","QWAT","","","","","",""
"PCC","TP","PCC","QLIQ","","","","","",""
"PCC","TP","PCC","QGAS","","","","","",""
"PCC","TP","PCC","QOIL_TARGET","","","","","",""
"PCC","TP","PCC","QOIL_LOW","","","","","",""
"PCC","TP","PCC","QOIL_LOWLOW","","","","","",""
"PCC","TP","PCC","QOIL_HIGH","","","","","",""
"PCC","TP","PCC","QOIL_HIGHHIGH","","","","","",""
"PCC","TP","PCC","QOIL_ALARMSTATUS","","","","","",""
"PCC","TP","PCC","QGAS_TARGET","","","","","",""
"PCC","TP","PCC","QGAS_LOW","","","","","",""
"PCC","TP","PCC","QGAS_LOWLOW","","","","","",""
"PCC","TP","PCC","QGAS_HIGH","","","","","",""
"PCC","TP","PCC","QGAS_HIGHHIGH","","","","","",""
"PCC","TP","PCC","QGAS_ALARMSTATUS","","","","","",""
"PCC","PL","PCC","QOIL","","","","","",""
"PCC","PL","PCC","QWAT","","","","","",""
"PCC","PL","PCC","QLIQ","","","","","",""
"PCC","PL","PCC","QGAS","","","","","",""
"PCC","PL","PCC","WC","","","","","",""
"PCC","PL","PCC","GOR","","","","","",""
"PCC","PL","PCC","UCP","","","","","",""
"PCC","PL","PCC","UCT","","","","","",""
"PCC","PL","PCC","DCP","","","","","",""
"PCC","PL","PCC","DP","","","","","",""
"PCC","PL","PCC","CHOKE","","","","","",""
"PCC","PL","PCC","ROUTING","","","","","",""
"PCC","PL","PCC","PMFLD","","","","","",""
"PCC","PL","PCC","GASLIFT","","","","","",""
"PCC","PL","PCC","GROUP","","","","","",""
"PCC","PL","PCC","CLUSTER","","","","","",""
"PCC","W","PCC","QOIL","","","","","",""
"PCC","W","PCC","QWAT","","","","","",""
"PCC","W","PCC","QLIQ","","","","","",""
"PCC","W","PCC","QGAS","","","","","",""
"PCC","W","PCC","WC","","","","","",""
"PCC","W","PCC","GOR","","","","","",""
"PCC","W","PCC","UCP","","","","","",""
"PCC","W","PCC","UCT","","","","","",""
"PCC","W","PCC","DCP","","","","","",""
"PCC","W","PCC","DCT","","","","","",""
"PCC","W","PCC","UCP_CALC","","","","","",""
"PCC","W","PCC","UCT_CALC","","","","","",""
"PCC","W","PCC","DCP_CALC","","","","","",""
"PCC","W","PCC","DCT_CALC","","","","","",""
"PCC","W","PCC","DP","","","","","",""
"PCC","W","PCC","CHOKE","","","","","",""
"PCC","W","PCC","CHOKE_CMD","","","","","",""
"PCC","W","PCC","CHOKE_CALC","","","","","",""
"PCC","W","PCC","ERRF","","","","","",""
"PCC","W","PCC","MODUS","","","","","",""
"PCC","W","PCC","STATUS","","","","","",""
"PCC","W","PCC","ROUTING","","","","","",""
"PCC","W","PCC","MeOH","","","","","",""
"PCC","W","PCC","DHSVL","","","","","",""
"PCC","W","PCC","DHSVU","","","","","",""
"PCC","W","PCC","PMV","","","","","",""
"PCC","W","PCC","PWV","","","","","",""
"PCC","W","PCC","AMV","","","","","",""
"PCC","W","PCC","AWV","","","","","",""
"PCC","W","PCC","XOV","","","","","",""
"PCC","W","PCC","GLV","","","","","",""
"PCC","W","PCC","PCV","","","","","",""
"PCC","W","PCC","PFORM_CALC","","","","","",""
"PCC","W","PCC","TFORM_CALC","","","","","",""
"PCC","W","PCC","CHOKE_POS_PER","","","","","",""
"PCC","W","PCC","TAG_32","","","","","",""
"PCC","W","PCC","TAG_33","","","","","",""
"PCC","W","PCC","TAG_34","","","","","",""
"PCC","W","PCC","TAG_35","","","","","",""
"PCC","W","PCC","TAG_36","","","","","",""
"PCC","W","PCC","GROUP","","","","","",""
"PCC","W","PCC","CLUSTER","","","","","",""
"PCC","W","PCC","QOILTARGET","","","","","",""
"PCC","W","PCC","QOILMIN","","","","","",""
"PCC","W","PCC","QOILMAX","","","","","",""
"PCC","W","PCC","QLIQTARGET","","","","","",""
"PCC","W","PCC","LIQMIN","","","","","",""
"PCC","W","PCC","QLIQMAX","","","","","",""
"PCC","CL","PCC","QOIL","","","","","",""
"PCC","CL","PCC","QWAT","","","","","",""
"PCC","CL","PCC","QLIQ","","","","","",""
"PCC","CL","PCC","QGAS","","","","","",""
"PCC","CL","PCC","WC","","","","","",""
"PCC","CL","PCC","GOR","","","","","",""
"PCC","CL","PCC","ROUTING","","","","","",""
"PCC","S","PCC","EQUIPMENT_NAME","","","","","",""
"PCC","S","PCC","EQUIPMENT_DESC","","","","","",""
"PCC","S","PCC","SEPTAG","","","","","",""
"PCC","S","PCC","QOIL","","","","","",""
"PCC","S","PCC","QWAT","","","","","",""
"PCC","S","PCC","QLIQ","","","","","",""
"PCC","S","PCC","QGAS","","","","","",""
"PCC","S","PCC","WC","","","","","",""
"PCC","S","PCC","GOR","","","","","",""
"PCC","S","PCC","PSEP","","","","","",""
"PCC","S","PCC","TSEP","","","","","",""
"PCC","S","PCC","RHOOIL","","","","","",""
"PCC","S","PCC","RHOGAS","","","","","",""
"PCC","DP","PCC","WATERLEVELPCT","","","","","",""
"PCC","DP","PCC","WATERLEVEL","","","","","",""
"PCC","DP","PCC","OILLEVELPCT","","","","","",""
"PCC","DP","PCC","OILLEVEL","","","","","",""
"PCC","DP","PCC","WATEROUT","","","","","",""
"PCC","DP","PCC","OILOUT","","","","","",""
"PCC","DP","PCC","TEMPERATURE","","","","","",""
"PCC","DP","PCC","PRESSURE","","","","","",""
"PCC","DP","PCC","EMULSIONTHICKNESSDOWN","","","","","",""
"PCC","DP","PCC","EMULSIONTHICKNESSUP","","","","","",""
"PCC","DP","PCC","EMULSIONDENSITYLOW","","","","","",""
"PCC","DP","PCC","EMULSIONDENSITYHIGH","","","","","",""
"PCC","DP","PCC","DIRECTION","","","","","",""
"PCC","DP","PCC","DENSITYLEVEL1","","","","","",""
"PCC","DP","PCC","DENSITY1","","","","","",""
"PCC","DP","PCC","DENSITYLEVEL2","","","","","",""
"PCC","DP","PCC","DENSITY2","","","","","",""
"PCC","DP","PCC","SCANNINGON1","","","","","",""
"PCC","DP","PCC","SCANNINGON2","","","","","",""
