"ATTR_NO","ATTR_OWN","ATTR","DSCR","ENTITY_TYP","ATTR_TYP","DATATYPE","DATALEN","DFLT_VALUE","DFLT_UNITS","DFLT_TAG_MASK","DFLT_DOMAIN_NAME","DFLT_CALC_PROC","PROC_TYP"
"859","PCC","EQUIPMENT_NAME","","EQUIPMENT","STRING","C","32","","","","","",""
"860","PCC","EQUIPMENT_DESC","","EQUIPMENT","STRING","C","32","","","","","",""
"861","PCC","QOIL","","EQUIPMENT","STRING","C","32","","","","","",""
"862","PCC","QWAT","","EQUIPMENT","STRING","C","32","","","","","",""
"863","PCC","QLIQ","","EQUIPMENT","STRING","C","32","","","","","",""
"864","PCC","QGAS","","EQUIPMENT","STRING","C","32","","","","","",""
"865","PCC","QOIL_TARGET","","EQUIPMENT","STRING","C","32","","","","","",""
"866","PCC","QOIL_LOW","","EQUIPMENT","STRING","C","32","","","","","",""
"867","PCC","QOIL_LOWLOW","","EQUIPMENT","STRING","C","32","","","","","",""
"868","PCC","QOIL_HIGH","","EQUIPMENT","STRING","C","32","","","","","",""
"869","PCC","QOIL_HIGHHIGH","","EQUIPMENT","STRING","C","32","","","","","",""
"870","PCC","QOIL_ALARMSTATUS","","EQUIPMENT","STRING","C","32","","","","","",""
"871","PCC","QGAS_TARGET","","EQUIPMENT","STRING","C","32","","","","","",""
"872","PCC","QGAS_LOW","","EQUIPMENT","STRING","C","32","","","","","",""
"873","PCC","QGAS_LOWLOW","","EQUIPMENT","STRING","C","32","","","","","",""
"874","PCC","QGAS_HIGH","","EQUIPMENT","STRING","C","32","","","","","",""
"875","PCC","QGAS_HIGHHIGH","","EQUIPMENT","STRING","C","32","","","","","",""
"876","PCC","QGAS_ALARMSTATUS","","EQUIPMENT","STRING","C","32","","","","","",""
"877","PCC","WC","","EQUIPMENT","STRING","C","32","","","","","",""
"878","PCC","GOR","","EQUIPMENT","STRING","C","32","","","","","",""
"879","PCC","UCP","","EQUIPMENT","STRING","C","32","","","","","",""
"880","PCC","UCT","","EQUIPMENT","STRING","C","32","","","","","",""
"881","PCC","DCP","","EQUIPMENT","STRING","C","32","","","","","",""
"882","PCC","DP","","EQUIPMENT","STRING","C","32","","","","","",""
"883","PCC","CHOKE","","EQUIPMENT","STRING","C","32","","","","","",""
"884","PCC","ROUTING","","EQUIPMENT","STRING","C","32","","","","","",""
"885","PCC","PMFLD","","EQUIPMENT","STRING","C","32","","","","","",""
"886","PCC","GASLIFT","","EQUIPMENT","STRING","C","32","","","","","",""
"887","PCC","GROUP","D,E,F,..","EQUIPMENT","STRING","C","32","","","","","",""
"888","PCC","CLUSTER","","EQUIPMENT","STRING","C","32","","","","","",""
"889","PCC","DCT","","EQUIPMENT","STRING","C","32","","","","","",""
"890","PCC","UCP_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"891","PCC","UCT_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"892","PCC","DCP_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"893","PCC","DCT_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"894","PCC","CHOKE_CMD","","EQUIPMENT","STRING","C","32","","","","","",""
"895","PCC","CHOKE_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"896","PCC","ERRF","","EQUIPMENT","STRING","C","32","","","","","",""
"897","PCC","MODUS","","EQUIPMENT","STRING","C","32","","","","","",""
"898","PCC","STATUS","","EQUIPMENT","STRING","C","32","","","","","",""
"899","PCC","MeOH","","EQUIPMENT","STRING","C","32","","","","","",""
"900","PCC","DHSVL","","EQUIPMENT","STRING","C","32","","","","","",""
"901","PCC","DHSVU","","EQUIPMENT","STRING","C","32","","","","","",""
"902","PCC","PMV","","EQUIPMENT","STRING","C","32","","","","","",""
"903","PCC","PWV","","EQUIPMENT","STRING","C","32","","","","","",""
"904","PCC","AMV","","EQUIPMENT","STRING","C","32","","","","","",""
"905","PCC","AWV","","EQUIPMENT","STRING","C","32","","","","","",""
"906","PCC","XOV","","EQUIPMENT","STRING","C","32","","","","","",""
"907","PCC","GLV","","EQUIPMENT","STRING","C","32","","","","","",""
"908","PCC","PCV","","EQUIPMENT","STRING","C","32","","","","","",""
"909","PCC","PFORM_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"910","PCC","TFORM_CALC","","EQUIPMENT","STRING","C","32","","","","","",""
"911","PCC","CHOKE_POS_PER","","EQUIPMENT","STRING","C","32","","","","","",""
"912","PCC","TAG_32","","EQUIPMENT","STRING","C","32","","","","","",""
"913","PCC","TAG_33","","EQUIPMENT","STRING","C","32","","","","","",""
"914","PCC","TAG_34","","EQUIPMENT","STRING","C","32","","","","","",""
"915","PCC","TAG_35","","EQUIPMENT","STRING","C","32","","","","","",""
"916","PCC","TAG_36","","EQUIPMENT","STRING","C","32","","","","","",""
"917","PCC","QOILTARGET","","EQUIPMENT","STRING","C","32","","","","","",""
"918","PCC","QOILMIN","","EQUIPMENT","STRING","C","32","","","","","",""
"919","PCC","QOILMAX","","EQUIPMENT","STRING","C","32","","","","","",""
"920","PCC","QLIQTARGET","","EQUIPMENT","STRING","C","32","","","","","",""
