"EQ_NAME","DSCR","ACTIVE_CHK","PLANT","CMPNY","TYP","EQ_NO","ENABLED","EFFCTV_START_DT","EFFCTV_END_DT"
"CL_TB_D","D","X","","","CL","1308","-1","",""
"CL_TB_E","E","X","","","CL","1309","-1","",""
"CL_TB_F","F","X","","","CL","1310","-1","",""
"CL_TB_G","G","X","","","CL","1311","-1","",""
"CL_TB_H","H","X","","","CL","1312","-1","",""
"CL_TB_I","I","X","","","CL","1313","-1","",""
"CL_TB_J","J","X","","","CL","1314","-1","",""
"CL_TB_K","K","X","","","CL","1315","-1","",""
"CL_TB_L","L","X","","","CL","1316","-1","",""
"F_TROLL","F_TROLL","X","","","F","1317","-1","",""
"OL","OL","","","","OL","1318","-1","",""
"OSL_ALL_FIELDS","OSL_ALL_FIELDS","X","","","OSL","1319","-1","",""
"P_TB","TB","X","","","P","1320","-1","",""
"PL_TB_D_P","D_P","X","","","PL","1321","-1","",""
"PL_TB_D_T","D_T","X","","","PL","1322","-1","",""
"PL_TB_E_P","E_P","X","","","PL","1323","-1","",""
"PL_TB_E_T","E_T","X","","","PL","1324","-1","",""
"PL_TB_F_P","F_P","X","","","PL","1325","-1","",""
"PL_TB_F_T","F_T","X","","","PL","1326","-1","",""
"PL_TB_G_P","G_P","X","","","PL","1327","-1","",""
"PL_TB_G_T","G_T","X","","","PL","1328","-1","",""
"PL_TB_H_P","H_P","X","","","PL","1329","-1","",""
"PL_TB_H_T","H_T","X","","","PL","1330","-1","",""
"PL_TB_I_P","I_P","X","","","PL","1331","-1","",""
"PL_TB_I_T","I_T","X","","","PL","1332","-1","",""
"PL_TB_J_P","J_P","X","","","PL","1333","-1","",""
"PL_TB_J_T","J_T","X","","","PL","1334","-1","",""
"PL_TB_K_P","K_P","X","","","PL","1335","-1","",""
"PL_TB_K_T","K_T","X","","","PL","1336","-1","",""
"PL_TB_L_P","L_P","X","","","PL","1337","-1","",""
"PL_TB_L_T","L_T","X","","","PL","1338","-1","",""
"ROOT","ROOT","X","","","ROOT","1339","-1","",""
"W_TB_D_01","D1","X","","","W","1340","-1","",""
"W_TB_D_02","D2","X","","","W","1341","-1","",""
"W_TB_D_03","D3","X","","","W","1342","-1","",""
"W_TB_D_04","D4","X","","","W","1343","-1","",""
"W_TB_D_05","D5","X","","","W","1344","-1","",""
"W_TB_D_06","D6","X","","","W","1345","-1","",""
"W_TB_D_07","D7","X","","","W","1346","-1","",""
"W_TB_D_08","D8","X","","","W","1347","-1","",""
"W_TB_E_01","E1","X","","","W","1348","-1","",""
"W_TB_E_02","E2","X","","","W","1349","-1","",""
"W_TB_E_03","E3","X","","","W","1350","-1","",""
"W_TB_E_04","E4","X","","","W","1351","-1","",""
"W_TB_E_05","E5","X","","","W","1352","-1","",""
"W_TB_E_06","E6","X","","","W","1353","-1","",""
"W_TB_F_01","F1","X","","","W","1354","-1","",""
"W_TB_F_02","F2","X","","","W","1355","-1","",""
"W_TB_F_03","B3","","","","W","1356","-1","",""
"W_TB_F_04","F4","X","","","W","1357","-1","",""
"W_TB_F_05","F5","X","","","W","1358","-1","",""
"W_TB_F_06","F6","X","","","W","1359","-1","",""
"W_TB_G_01","G1","X","","","W","1360","-1","",""
"W_TB_G_02","G2","X","","","W","1361","-1","",""
"W_TB_G_03","G3","X","","","W","1362","-1","",""
"W_TB_G_04","G4","X","","","W","1363","-1","",""
"W_TB_G_05","G5","X","","","W","1364","-1","",""
"W_TB_G_06","G6","X","","","W","1365","-1","",""
"W_TB_H_01","H1","X","","","W","1366","-1","",""
"W_TB_H_02","H2","X","","","W","1367","-1","",""
"W_TB_H_03","H3","X","","","W","1368","-1","",""
"W_TB_H_04","H4","X","","","W","1369","-1","",""
"W_TB_H_05","H5","X","","","W","1370","-1","",""
"W_TB_H_06","H6","X","","","W","1371","-1","",""
"W_TB_I_11","I11","X","","","W","1372","-1","",""
"W_TB_I_12","I12","X","","","W","1373","-1","",""
"W_TB_I_13","I13","X","","","W","1374","-1","",""
"W_TB_I_14","I14","X","","","W","1375","-1","",""
"W_TB_I_21","I21","X","","","W","1376","-1","",""
"W_TB_I_22","I22","X","","","W","1377","-1","",""
"W_TB_I_23","I23","X","","","W","1378","-1","",""
"W_TB_I_32","I32","X","","","W","1379","-1","",""
"W_TB_J_11","J11","X","","","W","1380","-1","",""
"W_TB_J_12","J12","X","","","W","1381","-1","",""
"W_TB_J_13","J13","X","","","W","1382","-1","",""
"W_TB_J_14","J14","X","","","W","1383","-1","",""
"W_TB_J_21","J21","X","","","W","1384","-1","",""
"W_TB_J_22","J22","X","","","W","1385","-1","",""
"W_TB_J_23","J23","X","","","W","1386","-1","",""
"W_TB_J_24","J24","X","","","W","1387","-1","",""
"W_TB_K_11","K11","X","","","W","1388","-1","",""
"W_TB_K_12","K12","X","","","W","1389","-1","",""
"W_TB_K_13","K13","X","","","W","1390","-1","",""
"W_TB_K_14","K14","X","","","W","1391","-1","",""
"W_TB_K_21","K21","X","","","W","1392","-1","",""
"W_TB_K_22","K22","X","","","W","1393","-1","",""
"W_TB_K_23","K23","X","","","W","1394","-1","",""
"W_TB_K_24","K24","X","","","W","1395","-1","",""
"W_TB_L_11","L11","X","","","W","1396","-1","",""
"W_TB_L_12","L12","X","","","W","1397","-1","",""
"W_TB_L_13","L13","X","","","W","1398","-1","",""
"W_TB_L_14","L14","X","","","W","1399","-1","",""
