"EQ_NAME","ATTR_OWN","ATTR","VALUE","UNITS","TAGNAME","DOMAIN_NAME","PROC_TYP","CALC_PROC","ENABLED","EFFCTV_START_DT","EFFCTV_END_DT","MOD_DT_TM","MOD_BY_USER"
"CL_TB_D","PCC","EQUIPMENT_NAME","D","","","","","","-1","Feb 20 2015  5:41PM","","",""
"PL_TB_D_P","PCC","QLIQ","","","","","","PHD.OFI_18_6196PC","-1","Feb 20 2015  5:41PM","","",""
"PL_TB_F_T","PCC","QGAS","","","","","","PHD.OFI_18_6396TD","-1","Feb 20 2015  5:41PM","","",""
"PL_TB_I_P","PCC","WC","","","","","","PHD.OFFI_18_6896PA","-1","Feb 20 2015  5:41PM","","",""
"PL_TB_K_T","PCC","WC","","","","","","PHD.OFFI_18_7096TA","-1","Feb 20 2015  5:41PM","","",""
"W_TB_D_01","PCC","TAG_34","","","","","","PHD.OFC_18_0196C","-1","Feb 20 2015  5:41PM","","",""
"W_TB_D_03","PCC","DHSVL","","","","","","PHD.GSH_18_0301","-1","Feb 20 2015  5:41PM","","",""
"W_TB_D_05","PCC","UCP_CALC","","","","","","PHD.NPY_18_0596B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_D_06","PCC","LIQMIN","","","","","","PHD.URL_18_0601C_X","-1","Feb 20 2015  5:41PM","","",""
"W_TB_D_08","PCC","PFORM_CALC","","","","","","PHD.NPY_18_0896A","-1","Feb 20 2015  5:41PM","","",""
"W_TB_E_02","PCC","ERRF","","","","","","PHD.NFI_18_1096Z","-1","Feb 20 2015  5:41PM","","",""
"W_TB_E_04","PCC","WC","","","","","","PHD.OFFI_18_1296A","-1","Feb 20 2015  5:41PM","","",""
"W_TB_E_05","PCC","GROUP","","","","","","","-1","Feb 20 2015  5:41PM","","",""
"W_TB_F_01","PCC","PWV","","","","","","PHD.GSH_18_1504","-1","Feb 20 2015  5:41PM","","",""
"W_TB_F_03","PCC","DCT_CALC","","","","","","PHD.NULL","-1","Feb 20 2015  5:41PM","","",""
"W_TB_F_05","PCC","QOIL","","","","","","PHD.OFI_18_1996A","-1","Feb 20 2015  5:41PM","","",""
"W_TB_F_06","PCC","TAG_33","","","","","","PHD.OFC_18_2096B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_G_02","PCC","MeOH","","","","","","PHD.OFI_18_2296G","-1","Feb 20 2015  5:41PM","","",""
"W_TB_G_04","PCC","DCT","","","","","","PHD.TI_18_2416","-1","Feb 20 2015  5:41PM","","",""
"W_TB_G_05","PCC","QLIQTARGET","","","","","","PHD.UR_18_2601C_X","-1","Feb 20 2015  5:41PM","","",""
"W_TB_H_01","PCC","PCV","","","","","","PHD.GSL_18_27_06","-1","Feb 20 2015  5:41PM","","",""
"W_TB_H_03","PCC","CHOKE_CALC","","","","","","PHD.NGI_18_2906B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_H_05","PCC","QGAS","","","","","","PHD.OFI_18_3196D","-1","Feb 20 2015  5:41PM","","",""
"W_TB_H_06","PCC","TAG_36","","","","","","PHD.OFFI_18_3296C","-1","Feb 20 2015  5:41PM","","",""
"W_TB_I_12","PCC","PMV","","","","","","PHD.GSH_18_3403","-1","Feb 20 2015  5:41PM","","",""
"W_TB_I_14","PCC","UCT_CALC","","","","","","PHD.NTY_18_3696B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_I_21","PCC","QLIQMAX","","","","","","PHD.URH_18_3801C_X","-1","Feb 20 2015  5:41PM","","",""
"W_TB_I_23","PCC","TFORM_CALC","","","","","","PHD.NTY_18_3996A","-1","Feb 20 2015  5:41PM","","",""
"W_TB_J_11","PCC","MODUS","","","","","","PHD.HS_18_4106B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_J_13","PCC","GOR","","","","","","PHD.OFFI_18_4396B","-1","Feb 20 2015  5:41PM","","",""
"W_TB_J_14","PCC","CLUSTER","","","","","","","-1","Feb 20 2015  5:41PM","","",""
"W_TB_J_22","PCC","AMV","","","","","","PHD.GSH_18_4618","-1","Feb 20 2015  5:41PM","","",""
"W_TB_J_24","PCC","DCT_CALC","","","","","","PHD.NTY_18_4896C","-1","Feb 20 2015  5:41PM","","",""
"W_TB_K_12","PCC","EQUIPMENT_DESC","K12- Troll B","","","","","","-1","Feb 20 2015  5:41PM","","",""
"W_TB_K_13","PCC","TAG_32","","","","","","PHD.OFC_18_5196A","-1","Feb 20 2015  5:41PM","","",""
"W_TB_K_21","PCC","ROUTING","","","","","","PHD.GS_18_5309P","-1","Feb 20 2015  5:41PM","","",""
"W_TB_K_23","PCC","UCT","","","","","","PHD.TI_18_5523","-1","Feb 20 2015  5:41PM","","",""
