"EQ_NAME","APPL_NAME","APPL_ENTITY_TYP","ENABLED","EFFCTV_START_DT","EFFCTV_END_DT"
"CL_TB_D","PCC","CL","-1","",""
"CL_TB_E","PCC","CL","-1","",""
"CL_TB_F","PCC","CL","-1","",""
"CL_TB_G","PCC","CL","-1","",""
"CL_TB_H","PCC","CL","-1","",""
"CL_TB_I","PCC","CL","-1","",""
"CL_TB_J","PCC","CL","-1","",""
"CL_TB_K","PCC","CL","-1","",""
"CL_TB_L","PCC","CL","-1","",""
"F_TROLL","PCC","F","-1","",""
"OL","PCC","OL","-1","",""
"OSL_ALL_FIELDS","PCC","OSL","-1","",""
"P_TB","PCC","P","-1","",""
"PL_TB_D_P","PCC","PL","-1","",""
"PL_TB_D_T","PCC","PL","-1","",""
"PL_TB_E_P","PCC","PL","-1","",""
"PL_TB_E_T","PCC","PL","-1","",""
"PL_TB_F_P","PCC","PL","-1","",""
"PL_TB_F_T","PCC","PL","-1","",""
"PL_TB_G_P","PCC","PL","-1","",""
"PL_TB_G_T","PCC","PL","-1","",""
"PL_TB_H_P","PCC","PL","-1","",""
"PL_TB_H_T","PCC","PL","-1","",""
"PL_TB_I_P","PCC","PL","-1","",""
"PL_TB_I_T","PCC","PL","-1","",""
"PL_TB_J_P","PCC","PL","-1","",""
"PL_TB_J_T","PCC","PL","-1","",""
"PL_TB_K_P","PCC","PL","-1","",""
"PL_TB_K_T","PCC","PL","-1","",""
"PL_TB_L_P","PCC","PL","-1","",""
"PL_TB_L_T","PCC","PL","-1","",""
"ROOT","PCC","ROOT","-1","",""
"W_TB_D_01","PCC","W","-1","",""
"W_TB_D_02","PCC","W","-1","",""
"W_TB_D_03","PCC","W","-1","",""
"W_TB_D_04","PCC","W","-1","",""
"W_TB_D_05","PCC","W","-1","",""
"W_TB_D_06","PCC","W","-1","",""
"W_TB_D_07","PCC","W","-1","",""
"W_TB_D_08","PCC","W","-1","",""
"W_TB_E_01","PCC","W","-1","",""
"W_TB_E_02","PCC","W","-1","",""
"W_TB_E_03","PCC","W","-1","",""
"W_TB_E_04","PCC","W","-1","",""
"W_TB_E_05","PCC","W","-1","",""
"W_TB_E_06","PCC","W","-1","",""
"W_TB_F_01","PCC","W","-1","",""
"W_TB_F_02","PCC","W","-1","",""
"W_TB_F_03","PCC","W","-1","",""
"W_TB_F_04","PCC","W","-1","",""
"W_TB_F_05","PCC","W","-1","",""
"W_TB_F_06","PCC","W","-1","",""
"W_TB_G_01","PCC","W","-1","",""
"W_TB_G_02","PCC","W","-1","",""
"W_TB_G_03","PCC","W","-1","",""
"W_TB_G_04","PCC","W","-1","",""
"W_TB_G_05","PCC","W","-1","",""
"W_TB_G_06","PCC","W","-1","",""
"W_TB_H_01","PCC","W","-1","",""
"W_TB_H_02","PCC","W","-1","",""
"W_TB_H_03","PCC","W","-1","",""
"W_TB_H_04","PCC","W","-1","",""
"W_TB_H_05","PCC","W","-1","",""
"W_TB_H_06","PCC","W","-1","",""
"W_TB_I_11","PCC","W","-1","",""
"W_TB_I_12","PCC","W","-1","",""
"W_TB_I_13","PCC","W","-1","",""
"W_TB_I_14","PCC","W","-1","",""
"W_TB_I_21","PCC","W","-1","",""
"W_TB_I_22","PCC","W","-1","",""
"W_TB_I_23","PCC","W","-1","",""
"W_TB_I_32","PCC","W","-1","",""
"W_TB_J_11","PCC","W","-1","",""
"W_TB_J_12","PCC","W","-1","",""
"W_TB_J_13","PCC","W","-1","",""
"W_TB_J_14","PCC","W","-1","",""
"W_TB_J_21","PCC","W","-1","",""
"W_TB_J_22","PCC","W","-1","",""
"W_TB_J_23","PCC","W","-1","",""
"W_TB_J_24","PCC","W","-1","",""
"W_TB_K_11","PCC","W","-1","",""
"W_TB_K_12","PCC","W","-1","",""
"W_TB_K_13","PCC","W","-1","",""
"W_TB_K_14","PCC","W","-1","",""
"W_TB_K_21","PCC","W","-1","",""
"W_TB_K_22","PCC","W","-1","",""
"W_TB_K_23","PCC","W","-1","",""
"W_TB_K_24","PCC","W","-1","",""
"W_TB_L_11","PCC","W","-1","",""
"W_TB_L_12","PCC","W","-1","",""
"W_TB_L_13","PCC","W","-1","",""
"W_TB_L_14","PCC","W","-1","",""
"W_TB_L_21","PCC","W","-1","",""
"W_TB_L_22","PCC","W","-1","",""
"W_TB_L_23","PCC","W","-1","",""
"W_TB_L_24","PCC","W","-1","",""
"TP_TB_1","PCC","TP","-1","",""
"TP_TB_2","PCC","TP","-1","",""
"TP_TB_3","PCC","TP","-1","",""
"S_TB_1TEST","PCC","S","-1","",""
"S_TB_2TEST","PCC","S","-1","",""
"DP","PCC","DP","-1","",""
